	Date	West Income	NorthEast Income	South Income	MidWest Income	NorthEast HP	MidWest HP	West HP	South HP	Avg West HP Chg	West Income Chg	Avg West HP Chg (Norm)	West Income Chg (Norm)	Avg NorthEast HP Chg	NorthEast Income Chg	Avg NorthEast HP Chg (Norm)	NorthEast Income Chg (Norm)	Avg MidWest HP Chg	MidWest Income Chg	Avg MidWest HP Chg (Norm)	MidWest Income Chg (Norm)	Avg South HP Chg	South Income Chg	Avg South HP Chg (Norm)	South Income Chg (Norm)
21	1/1/1996	85527	93805	77116	84307	228225	158075	186325	142925	0.10088626292466762	-0.009588327253778006	0.041289270816615	-0.020416209324087504	0.06015561491116017	0.054438973943931046	-0.005114217766764087	0.04184747113606972	0.009902571474205368	0.003332262249039042	-0.04056978464812988	-0.006535014494302443	0.01834698966868542	0.025724242504854944	-0.034630089056957004	0.014534644719385037
22	1/1/1997	88272	95735	80865	88007	234100	169625	198150	149850	0.06346437676103589	0.03209512785436175	0.003867384652983266	0.02126724578405225	0.02574214043159162	0.02057459623687441	-0.03952769224633264	0.007983093429013089	0.0730665823185197	0.04388722170163817	0.022594226196184453	0.03401994495829668	0.04845198530697914	0.04861507339592297	-0.0045250934186632855	0.03742547561045306
23	1/1/1998	91273	97805	83530	91807	240500	177975	200450	158200	0.011607368155437836	0.033997190502084385	-0.04798962395261479	0.023169308431774886	0.02733874412644166	0.02162218624327572	-0.0379310885514826	0.0090306834354144	0.04922623434045681	0.043178383537673115	-0.0012461217818784398	0.03331110679433163	0.055722389055722354	0.03295616150374081	0.0027453103300799295	0.021766563718270904
24	1/1/1999	93464	102981	85236	93782	247575	185850	223000	170625	0.11249688201546526	0.024004908351867416	0.05289988990741264	0.013177026281557916	0.029417879417879433	0.05292162977352888	-0.035851953260044825	0.040330126965667554	0.04424778761061954	0.02151252083174482	-0.006224568511715711	0.011645244088403334	0.07853982300884965	0.020423799832395506	0.025562744283207227	0.0092342020469256
25	1/1/2000	95884	103988	86533	95453	274775	197300	239100	176650	0.07219730941704028	0.02589232217752291	0.012600317308987655	0.015064440107213408	0.10986569726345552	0.009778502830619207	0.04459586458553126	-0.0028129999772421137	0.061608824320688704	0.017817918150604628	0.011136468198353455	0.007950641407263143	0.03531135531135532	0.01521657515603736	-0.017665723414287106	0.004026977370567453
26	1/1/2001	94168	105169	86219	91745	294275	197925	248675	183150	0.04004600585529072	-0.017896625088648754	-0.0195509862527619	-0.028724507158958253	0.07096715494495487	0.011357079663038006	0.005697322267030611	-0.001234423144823315	0.003167764825139363	-0.03884634322650937	-0.047304591297195886	-0.04871361996985086	0.036795924143787184	-0.00362867345405804	-0.01618115458185524	-0.014818271239527947
27	1/1/2002	93303	101737	84962	91896	302950	206225	275425	195025	0.10757012164471691	-0.009185710644805	0.047973129536664286	-0.0200135927151145	0.029479228612692143	-0.032633190388802746	-0.035790604065232115	-0.04522469319666407	0.041935076417835004	0.001645866259741613	-0.008537279704500245	-0.008221410483599872	0.06483756483756475	-0.014579153086906604	0.011860486111922329	-0.02576875087237651
28	1/1/2003	94898	102272	83926	92187	315975	215300	306850	205875	0.11409639647817005	0.0170948415377854	0.054499404370117424	0.006266959467475899	0.042993893381746195	0.005258657125726041	-0.022275939296178063	-0.00733284568213528	0.04400533397987627	0.003166623139200908	-0.006467022142458978	-0.006700653604140577	0.055633893090629494	-0.012193686589298758	0.0026568143649870687	-0.023383284374768665
29	1/1/2004	94163	103070	85335	89926	371450	238875	340850	226500	0.11080332409972304	-0.0077451579590718245	0.05120633199167042	-0.018573040029381323	0.17556768731703465	0.007802722152690844	0.11029785463911039	-0.004788780655170476	0.10949837436135623	-0.02452623471856119	0.05902601823902098	-0.03439351146190268	0.10018214936247727	0.016788599480494826	0.047205070636834844	0.005599001695024919
30	1/1/2005	96140	103290	85385	90588	398100	245325	386125	240250	0.13282969047968307	0.020995507789683954	0.07323269837163045	0.010167625719374454	0.0717458608157222	0.002134471718249653	0.006476028137797948	-0.010457031089611667	0.027001569858712715	0.007361608433601008	-0.023470786263622534	-0.002505668309740477	0.06070640176600439	0.0005859260561316137	0.007729323040361967	-0.010603671729338293
